A11,A12,A21,A22,B1,step_amp,best_Kp,best_Ki,best_Kd,best_Score
-4.13920728866406,-0.201663505577374,5.46683712031117,-10.5675149215245,2.17144058557144,0.824960596588964,19.9239657832226,45.2260137166489,0,129.066270534116
-3.72861252511807,-0.202972656330772,4.88058135935426,-10.275402253259,2.17473842469247,0.906358707936558,13.8061571088744,35.5920913434523,0,141.579607874649
-3.70345210563597,-0.194864317236373,4.52071159024412,-9.12173911636177,1.88480634660232,1.34249077277177,21.0669957065145,37.334582815097,0,252.081749144538
-3.9570436325296,-0.215757198860361,4.59587369496622,-9.88023659441325,2.10166835673426,1.02442442928309,20.6522398584707,40.9184121642183,0,172.84296836792
-3.77455731276351,-0.186683125460429,4.9138755589788,-10.3615236485619,2.00217977650912,1.35558114632165,17.5819965709554,36.2476163539553,0,245.658771944839
-4.38112289339202,-0.185428594153047,4.9490602793222,-9.24266691729879,2.10091472283797,1.38958119215358,16.9970143015633,27.5629418014076,0,257.826302942523
-4.19193239975842,-0.203842673035629,4.94597683719795,-10.9222810434033,1.98033873413817,1.17214886455644,7.07634680430614,62.2534358323702,0.148415680688763,806.35818769609
-3.67471815894772,-0.206039002209701,5.22632110430851,-9.50842673132238,2.09580418566935,1.10674127614319,15.9404209823836,44.3364275635408,0.184044005718707,770.292594969982
-4.25177894911454,-0.216231677483025,4.62698681629351,-10.826751712278,2.05294369849016,0.823155303749557,19.6271753930571,49.607037074549,0,129.550913068903
-3.91083768463669,-0.199700028026505,5.25156978981805,-9.69998568589908,2.11119497453468,1.46631923660905,18.0291956101034,22.8300289437297,0.0326919094878972,883.279538735031
-4.06756661234838,-0.206471947885082,4.53404400177012,-9.29148501111717,1.81023858433381,1.13887935042018,24.8540578633758,49.9379057708163,0,206.607127985242
-4.37840410505048,-0.203324477937754,4.72330079809529,-10.6908246049165,2.02536459897312,0.8764810618033,23.5378829462292,67.1673604349517,0.0500379794650276,681.249403627099
-4.12110733934118,-0.193163073109255,5.43419505677614,-9.04268581643337,2.17607490629657,0.797876680495671,19.089366247522,50.3542715214302,0,129.600147583974
-4.24129329421577,-0.212134175384403,4.88176811949181,-10.2537178733949,2.04630386497758,1.30845244964152,13.916738155424,32.6522767901488,0,231.155345339201
